Generation,FamilyID,M2BW_PD00,SurRate_PD00,gAnimalEBV_PD00,sAnimalEBV_PD00,gStdAnimalEBV_PD00,sStdAnimalEBV_PD00,gStdAnimalEBV,sStdAnimalEBV,SelIndex,FamilyClass,SireID,DamID,EnvLabel,TankID,M2Age2,M1BW,M2BW,ADG,M2BL,gAnimalEBV,SurRate,sAnimalEBV,sReSurRate,Inbreeding,M2BWAllEnvs
G02,MRYGY18G0202151,37.36770428,0.86612192,3.870171569,0.3725324,0.499240695,0.512290022,0.499240695,0.512290022,79.09605364,T2G00/NP,MRYGY17G000D388,MRYGY17G010B298,PD00,P11,149,1.33,35.09130435,0.362956522,10.76956522,3.683957333,0.766666667,0.3725324,0.615299728,0,37.36770428
G02,MRYGY18G0202162,40.61609756,0.686081301,5.410499741,0.195041,0.501373396,0.505228275,0.501373396,0.505228275,75.58506903,T2G00/NP,MRYGY17G000D665,MRYGY17G010B641,PD00,P10,163,1.31,43.68541667,0.3959375,11.53333333,5.674905439,0.64,0.195041,0.546042047,0,40.61609756
G02,MRYGY18G0202162,40.61609756,0.686081301,5.410499741,0.195041,0.501373396,0.505228275,0.501373396,0.505228275,75.58506903,T2G00/NP,MRYGY17G000D665,MRYGY17G010B641,PD00,P11,149,1.49,37.91284404,0.391743119,11.06513761,5.177628669,0.726666667,0.195041,0.546042047,0,40.61609756
G02,MRYGY18G0202171,40.03910891,0.675709571,4.265348671,0.0522423,0.499787854,0.499545179,0.499787854,0.499545179,59.78868078,T2G00/NP,MRYGY17G000F312,MRYGY17G010B248,PD00,P10,174,1.18,42.00736842,0.366947368,11.48947368,4.299961053,0.633333333,0.0522423,0.489177625,0,40.03910891
G02,MRYGY18G0202171,40.03910891,0.675709571,4.265348671,0.0522423,0.499787854,0.499545179,0.499787854,0.499545179,59.78868078,T2G00/NP,MRYGY17G000F312,MRYGY17G010B248,PD00,P11,160,1.45,38.29158879,0.379626168,11.18579439,4.234618052,0.713333333,0.0522423,0.489177625,0,40.03910891
G02,MRYGY18G0202181,43.20117647,0.566980392,7.919848235,-0.0048614,0.504847624,0.497272519,0.504847624,0.497272519,75.83890913,T2G00/NP,MRYGY17G000F144,MRYGY17G010E348,PD00,P10,164,1.33,43.83253012,0.394337349,11.58192771,7.863337349,0.553333333,-0.0048614,0.466434915,0,43.20117647
G02,MRYGY18G0202181,43.20117647,0.566980392,7.919848235,-0.0048614,0.504847624,0.497272519,0.504847624,0.497272519,75.83890913,T2G00/NP,MRYGY17G000F144,MRYGY17G010E348,PD00,P11,150,1.41,42.59885057,0.438275862,11.44942529,7.97376092,0.58,-0.0048614,0.466434915,0,43.20117647
G02,MRYGY18G0203011,37.45691489,0.628439716,6.050180319,0.0601147,0.502259082,0.499858494,0.502259082,0.499858494,70.02394499,NP,MRYGY17G010D367,MRYGY17G010B339,PD00,P10,168,1.08,38.68202247,0.34494382,11.3,5.983934831,0.593333333,0.0601147,0.492317405,0,37.45691489
G02,MRYGY18G0203011,37.45691489,0.628439716,6.050180319,0.0601147,0.502259082,0.499858494,0.502259082,0.499858494,70.02394499,NP,MRYGY17G010D367,MRYGY17G010B339,PD00,P11,154,1.23,36.35555556,0.36959596,10.96565657,6.109734343,0.66,0.0601147,0.492317405,0,37.45691489
G02,MRYGY18G0203021,43.91990741,0.720987654,5.484528241,0.1999752,0.501475889,0.505424631,0.501475889,0.505424631,76.31827002,NP,MRYGY17G010D385,MRYGY17G010E665,PD00,P10,170,1.17,44.37403846,0.392596154,11.78653846,5.311275,0.693333333,0.1999752,0.547996818,0,43.91990741
G02,MRYGY18G0203021,43.91990741,0.720987654,5.484528241,0.1999752,0.501475889,0.505424631,0.501475889,0.505424631,76.31827002,NP,MRYGY17G010D385,MRYGY17G010E665,PD00,P11,156,1.44,43.49821429,0.438392857,11.63303571,5.64540625,0.746666667,0.1999752,0.547996818,0,43.91990741
G02,MRYGY18G0203022,45.82444444,0.751792593,7.158960444,0.1707562,0.503794193,0.504261845,0.503794193,0.504261845,83.46768514,NP,MRYGY17G010D385,MRYGY17G010B114,PD00,P10,169,1.16,49.22803738,0.440934579,12.01775701,7.377227103,0.713333333,0.1707562,0.536405826,0,45.82444444
G02,MRYGY18G0203022,45.82444444,0.751792593,7.158960444,0.1707562,0.503794193,0.504261845,0.503794193,0.504261845,83.46768514,NP,MRYGY17G010D385,MRYGY17G010B114,PD00,P11,155,1.29,42.73813559,0.436525424,11.56016949,6.961040678,0.786666667,0.1707562,0.536405826,0,45.82444444
G02,MRYGY18G0203031,53.6171875,0.640069444,8.459709896,0.092714,0.505595002,0.501155922,0.505595002,0.501155922,85.31281284,NP,MRYGY17G010D601,MRYGY17G010B559,PD00,P10,179,1.57,57.88631579,0.503052632,12.60631579,8.597944211,0.633333333,0.092714,0.505322011,0,53.6171875
G02,MRYGY18G0203031,53.6171875,0.640069444,8.459709896,0.092714,0.505595002,0.501155922,0.505595002,0.501155922,85.31281284,NP,MRYGY17G010D601,MRYGY17G010B559,PD00,P11,165,1.58,49.43608247,0.488247423,12.00824742,8.324325773,0.646666667,0.092714,0.505322011,0,53.6171875
G02,MRYGY18G0203032,42.59909091,0.73430303,9.081681818,0.1602169,0.506456079,0.503842416,0.506456079,0.503842416,93.21829201,NP,MRYGY17G010D601,MRYGY17G010F572,PD00,P10,166,1.33,44.96226415,0.403584906,11.72358491,9.194221698,0.706666667,0.1602169,0.532216833,0,42.59909091
